CAB,MONTH,SOURCE,KAT,NOM
CBICIB,01-Mar-24,INVOICE,SHOPEEPAY,650799045
CBICIB,01-Mar-24,WEB,GO RESTO,110291000
CBICIB,01-Mar-24,WEB,GRAB FOOD,172690490
CBICIB,01-Mar-24,WEB,QRIS ESB,15045000
CBICIB,01-Mar-24,WEB,QRIS SHOPEE,286126500
CBICIB,01-Mar-24,WEB,SHOPEEPAY,651102000
CBICIB,01-May-24,INVOICE,GO RESTO,193387306
CBICIB,01-May-24,INVOICE,GRAB FOOD,201088301.4
CBICIB,01-May-24,INVOICE,QRIS ESB,18325000
CBICIB,01-May-24,INVOICE,QRIS SHOPEE,350636800
CBICIB,01-May-24,INVOICE,SHOPEEPAY,742107695
CBICIB,01-May-24,WEB,CASH,1570853500
CBICIB,01-May-24,WEB,EDC,72480000
CBICIB,01-May-24,WEB,GO RESTO,193480500
CBICIB,01-May-24,WEB,GRAB FOOD,201537258
CBICIB,01-May-24,WEB,QRIS ESB,18398500
CBICIB,01-May-24,WEB,QRIS SHOPEE,349289500
CBICIB,01-May-24,WEB,SHOPEEPAY,744400500
CBIMAY,01-Aug-24,INVOICE,GO RESTO,210038027
CBIMAY,01-Aug-24,INVOICE,GRAB FOOD,237978338
CBIMAY,01-Aug-24,INVOICE,QRIS SHOPEE,255679000
CBIMAY,01-Aug-24,INVOICE,SHOPEEPAY,831791736
CBIMAY,01-Aug-24,WEB,CASH,1830366000
CBIMAY,01-Aug-24,WEB,EDC,160319500
CBIMAY,01-Aug-24,WEB,GO RESTO,210037568
CBIMAY,01-Aug-24,WEB,GRAB FOOD,238457149
CBIMAY,01-Aug-24,WEB,QRIS SHOPEE,255447000
CBIMAY,01-Aug-24,WEB,SHOPEEPAY,832750450
CBIMAY,01-Jul-24,INVOICE,GO RESTO,323395396
CBIMAY,01-Jul-24,INVOICE,GRAB FOOD,239154884
CBIMAY,01-Jul-24,INVOICE,QRIS SHOPEE,250990000
